Designator,Mid X,Mid Y,Rotation,Layer
C1,71.2,-60.1001,270.0,top
C10,74.5,-56.7,270.0,top
C11,78.3,-56.4,270.0,top
C12,77.0,-60.3,270.0,top
C13,85.3,-56.0001,270.0,top
C14,81.4,-56.5,270.0,top
C15,86.9,-60.1,270.0,top
C16,87.4,-56.4001,270.0,top
C17,33.8,-53.4001,270.0,top
C18,32.6,-33.3,90.0,top
C19,33.5,-36.4,270.0,top
C2,73.0,-56.7,270.0,top
C20,34.2,-33.3,90.0,top
C21,35.0,-36.4,270.0,top
C22,35.8,-33.3,270.0,top
C23,36.5,-36.4,270.0,top
C24,37.4,-33.3,90.0,top
C25,38.0,-36.4,90.0,top
C26,39.0,-33.3,270.0,top
C27,39.5,-36.4,270.0,top
C3,76.8,-56.3,270.0,top
C4,75.4,-60.1,270.0,top
C5,83.7,-56.0001,270.0,top
C6,80.0,-56.5,270.0,top
C7,85.4,-60.2001,270.0,top
C73,42.3,-72.1,90.0,top
C8,88.8,-56.3999,270.0,top
C9,72.6,-60.2001,270.0,top
J1,72.5,-45.4,180.0,top
R17,70.4,-56.6,270.0,top
R18,68.8,-56.5,270.0,top
R19,65.9,-54.1,270.0,top
R20,64.5,-54.3001,270.0,top
R21,68.8,-53.0999,270.0,top
R22,67.4,-53.6999,270.0,top
R23,68.4,-60.3999,270.0,top
R24,66.9,-60.2,270.0,top
R25,71.9,-53.1,270.0,top
R26,70.4,-53.2,270.0,top
R27,75.0,-52.9,270.0,top
R28,73.5,-52.9,270.0,top
R29,77.8,-52.3001,270.0,top
R30,76.3,-52.7,270.0,top
R31,90.1,-60.1,270.0,top
R32,91.7,-59.9,270.0,top
R33,98.3,-38.0,90.0,top
R34,60.0,-56.3001,270.0,top
R35,61.5,-56.3001,270.0,top
R36,82.8,-59.8001,270.0,top
R37,81.3,-59.8001,270.0,top
R49,44.8,-68.6,90.0,top
R50,45.7,-73.6001,90.0,top
R51,47.2,-72.6,90.0,top
R52,43.3,-68.6001,270.0,top
R53,28.1,-37.9,0.0,top
R54,105.1,-55.9,90.0,top
R55,94.8,-56.0,270.0,top
R56,93.3,-56.0001,270.0,top
R57,93.3,-79.0,180.0,top
R58,45.7001,-79.8,0.0,top
R59,98.6,-56.0,270.0,top
R60,97.9,-59.3,270.0,top
R61,97.2,-56.0,270.0,top
R62,99.5,-59.3,270.0,top
R63,102.5,-59.3,270.0,top
R64,100.8,-56.0,270.0,top
U54,38.62,-75.8,0.0,top
